id,WnvPresent
1,1
2,1
3,1
4,0
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,0
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,0
93,0
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,1
171,1
172,0
173,0
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,0
201,1
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,1
220,0
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,0
293,0
294,0
295,1
296,0
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,0
305,1
306,1
307,1
308,0
309,0
310,0
311,1
312,0
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,1
328,0
329,1
330,1
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,0
359,1
360,0
361,1
362,1
363,1
364,0
365,0
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,0
374,0
375,1
376,0
377,1
378,1
379,1
380,0
381,0
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,1
400,0
401,1
402,1
403,1
404,0
405,0
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,1
416,0
417,1
418,1
419,1
420,0
421,0
422,0
423,1
424,0
425,1
426,1
427,1
428,0
429,0
430,0
431,1
432,0
433,1
434,1
435,1
436,0
437,0
438,0
439,1
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,1
459,1
460,0
461,0
462,0
463,1
464,0
465,1
466,1
467,1
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,0
477,0
478,0
479,1
480,0
481,1
482,1
483,1
484,0
485,0
486,0
487,1
488,0
489,1
490,1
491,1
492,0
493,0
494,0
495,1
496,0
497,1
498,1
499,1
500,0
501,0
502,0
503,1
504,0
505,1
506,1
507,1
508,0
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,1
524,0
525,0
526,0
527,1
528,0
529,1
530,1
531,1
532,0
533,0
534,0
535,1
536,0
537,1
538,1
539,1
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,1
548,0
549,0
550,0
551,1
552,0
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,0
561,1
562,1
563,1
564,0
565,0
566,0
567,1
568,0
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,0
577,1
578,1
579,1
580,0
581,0
582,0
583,1
584,0
585,1
586,1
587,1
588,0
589,0
590,0
591,1
592,0
593,1
594,1
595,1
596,0
597,0
598,0
599,1
600,0
601,1
